district,rooms,square_meters,price
Mokotów,1,32,2900
PragaPołudnie,5,180,9800
Wola,2,44,3800
Włochy,1,29,2249
Śródmieście,2,41,4500
PragaPołudnie,3,80,14000
Śródmieście,1,31,3600
Śródmieście,1,31,4200
Włochy,1,22,2600
Wola,1,21,2900
Ochota,1,38,3400
Rembertów,2,35.11,3000
Wola,2,52,4900
PragaPołudnie,1,27,3000
Śródmieście,1,39,3500
PragaPołudnie,3,52.78,3500
Wilanów,3,92,6900
Bielany,2,48,3200
Wola,2,42,4300
Mokotów,2,43,3000
Wawer,2,32,3000
Wilanów,3,92,6900
Żoliborz,3,70,4500
PragaPołudnie,2,47,3500
Żoliborz,1,20,2200
Ursynów,1,28.5,2600
Wola,2,48,5000
Białołęka,2,50,2500
PragaPółnoc,1,33.8,2600
Śródmieście,2,40,2700
Mokotów,3,80,5600
Mokotów,2,43,3000
Śródmieście,3,44,4200
Ursus,2,41.9,3100
Ochota,4,93,9950
Wawer,3,60.25,3800
Bemowo,1,32,3000
Białołęka,2,48.2,2800
Ochota,1,38,2300
Mokotów,2,59.23,4200
PragaPołudnie,1,30,2250
Żoliborz,2,49,5000
Bemowo,2,56,3400
Ochota,1,30,2600
Targówek,2,44,2800
PragaPołudnie,2,40,2600
Śródmieście,3,47,3100
PragaPółnoc,2,51,6000
Wola,1,23,2400
Mokotów,2,35,2600
Mokotów,2,43,3900
Włochy,1,22,2600
Mokotów,3,58,3600
Śródmieście,1,33,3000
Ursynów,2,59,4500
Ursynów,2,50,2900
Wola,2,36,3400
Białołęka,2,38,3100
Śródmieście,1,37,3100
Wawer,3,120,5000
Warszawa,1,30,3500
Bemowo,3,61,3300
Mokotów,2,35,2600
Śródmieście,3,135,5900
Mokotów,3,68,5380
Wola,3,72,6500
Żoliborz,4,100,6000
PragaPołudnie,3,61,4900
Wesoła,4,150,4200
Mokotów,2,47.5,4400
Mokotów,4,115,12000
Mokotów,3,65,7000
Centrum,1,60,6500
Wola,2,42,3800
PragaPołudnie,3,61,4900
Żoliborz,2,40,3000
Białołęka,2,44.6,3000
Ursus,2,43,3500
Bemowo,2,48,3100
Ursynów,2,33,3500
Wola,2,48,5000
Wola,2,35,3800
Mokotów,5,255,17000
Mokotów,2,64,3950
Mokotów,4,120,6200
Wola,3,48.41,4600
Włochy,2,81,6400
Ursus,3,47,3200
Wesoła,3,67,3500
Wola,3,60,5800
Ochota,2,46,3700
Białołęka,2,50,2500
Śródmieście,1,39,3500
